gene,logFC,logCPM,F,PValue,FDR,Significant,direction
RTBDN,0.6792003153938779,0.4502548874093446,7.304101759616094,0.010631038524004606,0.01695369167739945,TRUE,Not significant
QDPR,0.14936904648034052,5.1503831527605035,7.2962481521018026,0.010668358656295802,0.017011471719843234,TRUE,Not significant
HECW2,0.9972040719221862,-0.3948108529162114,7.296249446422457,0.010673687358566398,0.017018232522125146,TRUE,Not significant
PSKH1,0.15130048789067832,5.308072494383983,7.290059839568487,0.010698574674059555,0.017056173210480502,TRUE,Not significant
RHBDF2,0.32062550485868785,2.748109908331197,7.287761359348733,0.010709846805117528,0.017072402403262313,TRUE,Not significant
PTMAP11,1.103360011714779,-0.87490296359836,7.288887318975316,0.010718054387884845,0.01708374363477872,TRUE,Up-regulated
B3GALT5,-0.20940544969169445,4.157592871712954,7.282315407371485,0.010736527750840354,0.017111443738720786,TRUE,Not significant
TRAM2-AS1,-0.25849221312913817,3.039318272943401,7.280739582220252,0.010744282167903881,0.017122056513492828,TRUE,Not significant
LINC02798,1.0818355268778448,-0.727105059027737,7.281253809774567,0.010752855951258309,0.017133972730978424,TRUE,Up-regulated
LMLN,-0.1311893745329873,5.626280542584539,7.2785138306451325,0.01075519810978482,0.01713595784464187,TRUE,Not significant
BUD13,-0.19720436093835442,4.284423835156807,7.2681697027793435,0.010806206052213501,0.017215472489664357,TRUE,Not significant
LINC00461,0.14190688718335376,4.987747781591165,7.263904647328911,0.010827308463516134,0.017247332988662573,TRUE,Not significant
CAMTA1-DT,-0.9210990482564259,-0.2706997270822654,7.2638877633219,0.010834237052081516,0.017256611140735158,TRUE,Not significant
SNHG11,-0.2690652193065816,3.134783360667963,7.260666360797433,0.010843384121196757,0.017269420604677534,TRUE,Not significant
TBC1D7,-0.39079527490840654,1.7978988049424833,7.25930963895688,0.010850204084973863,0.01727852163506281,TRUE,Not significant
HDGF,-0.10872915691119238,8.773593963306935,7.25716992858771,0.010860724552037963,0.01729351311617292,TRUE,Not significant
TMEM184C,0.11197240676819586,6.202117708635558,7.255678999922693,0.010868137734636546,0.017303554323354304,TRUE,Not significant
LOC124904897,0.7053968306332205,0.23893544998421293,7.255471368352492,0.010870354017476188,0.017305320156157347,TRUE,Not significant
MTERF4,-0.2061604521873342,4.096062939440563,7.235510573151153,0.010968962439563253,0.01746052377333472,TRUE,Not significant
LINC02615,1.1529664954375176,-0.7959197960232248,7.237607350744562,0.010973904562971523,0.017466611845136957,TRUE,Up-regulated
TWF1,-0.11461357171582409,7.069898626303989,7.234065981940832,0.01097621330160635,0.017468507677844133,TRUE,Not significant
RIMS3,-1.1316030468615552,-0.6705199900268344,7.2266881075811025,0.011029501437244972,0.017551527943813778,TRUE,Down-regulated
TMEM51-AS1,1.101223513858975,-0.6332577410656167,7.223691471772824,0.011043155112267404,0.017571466395677443,TRUE,Up-regulated
IL7,1.0714742376234467,-0.673380007680719,7.219997349150099,0.01105773874993479,0.01759288036049275,TRUE,Up-regulated
EFCAB6,0.545143671033587,0.9868519873547428,7.216951605876038,0.011062937534822462,0.017599360169900772,TRUE,Not significant
ZSCAN21,-0.35116664507147777,2.418822305613543,7.212895533055203,0.011083244941419866,0.01762987160944357,TRUE,Not significant
ANKRD9,0.17837866512815864,4.746325776509675,7.210844533010606,0.011093626799168312,0.01764459009575666,TRUE,Not significant
TTC28-AS1,-0.22339764525101438,3.411542728887928,7.207666905837157,0.011109817404009528,0.017668543551553614,TRUE,Not significant
TRDJ2,-1.3271031653691088,-0.9593797209557444,7.194607322921138,0.011191481906353273,0.01779660822019551,TRUE,Down-regulated
RNF34,0.13872709444418968,5.534029037662732,7.18760909901147,0.011212465001150269,0.01782816154302937,TRUE,Not significant
NAGPA,-0.22779442336631203,3.7815565241189324,7.186518405297969,0.011218089893262494,0.017835290919712418,TRUE,Not significant
OPN3,-0.48953213079343805,1.4228155485893574,7.182567902743,0.011238656915496413,0.017866172456184798,TRUE,Not significant
KCTD17,0.18305890711611572,4.6559502701948,7.17508846506943,0.01127707296886067,0.017925396737391863,TRUE,Not significant
GM2A,0.17039970157783577,4.671664637698948,7.174869674724441,0.011278205471241943,0.017925396737391863,TRUE,Not significant
TIMM10B,0.14200552339198896,5.448452543448528,7.171541379720267,0.011295447422929799,0.017950975416410043,TRUE,Not significant
PAK1,-0.1777078972846878,4.8937346087792335,7.169056363290994,0.01130834134793623,0.01796963961653551,TRUE,Not significant
LOC124904608,0.7130445078321067,0.36808160545079704,7.163609706060972,0.011337617846372139,0.018014330277401295,TRUE,Not significant
TADA2B,-0.14541022852729105,5.264478424842752,7.157252768218067,0.011369798443170718,0.01806362570306549,TRUE,Not significant
SEPTIN7P13,0.4487465761405038,2.1022775732574197,7.154496925701574,0.011384260493934342,0.01808476385000445,TRUE,Not significant
P4HTM,0.11983190504718001,6.082202733545874,7.141311450078383,0.011453372042923874,0.01819270376330286,TRUE,Not significant
LOC374443,0.39076457452489083,2.0415010667497704,7.139702120872269,0.011461913438107735,0.01820442099762462,TRUE,Not significant
ORMDL2,-0.22474170012178712,3.698684981284353,7.137183623397962,0.011475135572649758,0.018223569294911167,TRUE,Not significant
LOC105375519,0.6421592408617546,0.46668848048468553,7.133066363565702,0.01149776138539603,0.018257646088970837,TRUE,Not significant
ZMYM4,-0.09457307644682789,7.025529851695896,7.131905303310272,0.01150299539251579,0.018264101786369544,TRUE,Not significant
HECTD4,0.10958244024519373,6.764172315493013,7.120872858795425,0.011561494559333984,0.018355120361847655,TRUE,Not significant
LOC105374937,0.4274931116332397,1.4484422532293901,7.119914424394607,0.011566762104005606,0.018361618087102134,TRUE,Not significant
CHST10,-0.15351063150198543,5.09063268267543,7.115294712129111,0.011591195688641831,0.0183985364693279,TRUE,Not significant
PTPN21,-0.22568196222907616,3.604563230102828,7.109319866367406,0.01162311464632085,0.01844732757128299,TRUE,Not significant
PPP1R12B,0.13685092837971907,5.4422862444122915,7.107594520579902,0.011632329072538656,0.018460077510790863,TRUE,Not significant
ZNF213,-0.18537215376677402,4.282034709099503,7.106875471556932,0.011636183026096576,0.018464318852577613,TRUE,Not significant
LOC102723553,0.8495816040917055,-0.11422075800576977,7.105948809794671,0.011644024382183052,0.018474885909402203,TRUE,Not significant
ABI1,-0.1443227834964721,5.108599805351328,7.104191826517883,0.011650556649500486,0.018483373978044313,TRUE,Not significant
HEG1,0.09096316847743315,8.235903625125452,7.094417732175527,0.011703083703643003,0.01856482272281946,TRUE,Not significant
SNORD79,-0.7014700494085236,0.40012930861346746,7.092409562379396,0.01171514815522119,0.0185820748595603,TRUE,Not significant
XRCC4,-0.2093193820360978,3.8004112496673557,7.086909896345972,0.011743621164248333,0.01862534741727057,TRUE,Not significant
PSME3IP1,-0.09510915827545295,7.165917247533749,7.073882333679159,0.011814280125176808,0.018735511196886517,TRUE,Not significant
CDKN2C,-0.11763567835709479,5.888924555274019,7.070887135243731,0.011830594100060958,0.018759479129953613,TRUE,Not significant
DTNBP1,-0.19863482877127972,4.361104152762695,7.07000285885843,0.011835418220159884,0.018765224871282106,TRUE,Not significant
LUCAT1,0.49145889902912115,1.50895028165584,7.0690186395569645,0.0118411058405791,0.018772338400268925,TRUE,Not significant
LOC105374334,-0.9118952699206547,-0.25623645762646147,7.069641112300139,0.011843964593401694,0.01877496618609214,TRUE,Not significant
IRF2BP1,-0.1594901075409618,4.994336469699766,7.065943427344188,0.011857574712289688,0.0187946346976055,TRUE,Not significant
ZNF614,0.16417142086693343,4.559007437819276,7.06368449849987,0.011869925644283168,0.01881230357129851,TRUE,Not significant
PLCE1,-0.12212587261914029,5.693171074738596,7.061819093555935,0.011880132595984106,0.018826571273976637,TRUE,Not significant
LOC105373945,-1.083675219878073,-0.7551977756041073,7.0556873923648356,0.01191822020960727,0.018884664883811558,TRUE,Down-regulated
C19orf44,-0.26161266723341925,3.3512334122714043,7.054699216877606,0.011919207874523417,0.018884664883811558,TRUE,Not significant
DNAAF1,0.8161874139937062,-0.23428536440622447,7.050312270710126,0.011952482544426999,0.01893546545402331,TRUE,Not significant
RN7SL832P,0.7875356396261733,-0.024927335626263276,7.046275980125059,0.011967741313170889,0.018956102470394323,TRUE,Not significant
LOC124903019,0.6890982663359118,0.10175731552219658,7.046158360436327,0.011967934688282226,0.018956102470394323,TRUE,Not significant
LZIC,0.12185720742298761,6.035996626776977,7.0425567802350075,0.011986106156309222,0.018982960707580623,TRUE,Not significant
OAZ2,-0.1085628090616315,6.526830037178283,7.040989340938179,0.0119947742238495,0.01899476404445468,TRUE,Not significant
CAB39L,0.23078521668977328,3.850308376936265,7.035773108262937,0.012023682302175282,0.019038613553135412,TRUE,Not significant
SCARNA12,-0.5486483306204234,1.1063547696770963,7.033880486828938,0.012034518514477616,0.019053841610746063,TRUE,Not significant
